CO,NO2,SO2,O3,PM25,PM10,TEMPERATURE,HUMIDITY,PM05N,PM1N,PM25N,PM10N,WindSpeed,heating season
0.39503224265583936,0.4964756882221426,0.5211297923537597,0.30564592889754083,0.13267929279681023,0.2891842008121078,0.7218212104386452,0.7574521137934944,0.2873518085257392,0.28264916086173447,0.24593239717393217,0.1672587614018243,0.2297297297297297,0.0
0.3691187007403869,0.4674790503985118,0.6151510259307948,0.2752948262232666,0.09158316282811324,0.19907715023994094,0.7218212104386452,0.7280970191544827,0.2077529837432331,0.20036242486773603,0.16307684575985124,0.11156985117618819,0.2027027027027027,0.0
0.31557200859804146,0.42877135494000995,0.623246231078515,0.22386895895287617,0.09308710630781876,0.20280546327057955,0.7162687395891172,0.7223166723336734,0.20381261469552894,0.1989686377792728,0.1678972430342956,0.12165146423427749,0.31081081081081074,0.0
0.3623119178409362,0.43651118734319805,0.6109458243963191,0.23114483455852686,0.10865117255128272,0.23809523809523814,0.7033129742735518,0.7619857191431486,0.238491640821345,0.23406471958834005,0.20067678210212878,0.15026404224675952,0.13513513513513511,0.0
0.3455218533556246,0.43958322666530136,0.6118145406182491,0.24769167065504394,0.1302310127135687,0.289922480620155,0.7033129742735518,0.788393970304885,0.28173000429932704,0.2797057158343666,0.2514773198423634,0.2246759481517043,0.14864864864864863,0.0
0.41812753761643173,0.40380250200535905,0.6988168546322562,0.19753491398549117,0.15611283073640767,0.34071613141380586,0.7033129742735518,0.8035815482262271,0.3383703201415816,0.33698573932561215,0.28957144113545275,0.20964954392702834,0.08108108108108107,0.0
0.8730117028898972,0.3548717423583022,0.8271792861151471,0.1977500174771587,0.21422450728363324,0.47017349575489115,0.7033129742735518,0.801654765952624,0.4530086609485275,0.4576438562247276,0.3938402777486944,0.2829572731637062,0.2027027027027027,0.0
0.37107714353952703,0.3441793388288703,0.8335293710648307,0.20015379899654218,0.21160135005158875,0.46895533407161316,0.7070146215065705,0.7963277796667801,0.44176658432246785,0.4479999758651586,0.3962567583980032,0.3095055208833413,0.31081081081081074,0.0
0.37107714353952703,0.36423292884815595,0.8206908215902888,0.24736901541754264,0.20588286728573177,0.45884090070136585,0.7260781047566167,0.7673127054289924,0.41771179802761976,0.4277267091238751,0.38681698823588534,0.2987998079692751,0.4054054054054054,0.0
0.8294005254358727,0.38257983035516185,0.8156476548505884,0.26768016261823957,0.22191910183096372,0.49870801033591733,0.750879141217842,0.7083758358834864,0.41466856885510234,0.44907598754239936,0.43721547720257814,0.35640902544407105,0.36486486486486486,0.0
0.682899450680678,0.3898076562046662,0.7926074555840001,0.2745796071134724,0.25404403406606857,0.581764488741233,0.7754950953174162,0.6761872379009408,0.436841250665068,0.4892604984045864,0.5037880532882146,0.4192990878540567,0.4729729729729729,0.0
0.32918557439694285,0.45858720324953495,0.5441392406036425,0.3005533537323144,0.11529650420579543,0.2583979328165375,0.779196742550435,0.6229173750425027,0.23342793214620156,0.2437719539064755,0.21410353593520315,0.16356216994719155,0.2432432432432432,0.0
0.19744447098160978,0.5484102196508116,0.47571822843392764,0.39145071172367796,0.08336393683437385,0.18456995201181248,0.8204701091985934,0.5719143148588917,0.1715114943174333,0.1720482334804553,0.14352303613832154,0.09217474795967355,0.28378378378378377,0.0
