Model,MSE,RMSE,MAE,R^2,CV R^2,Training Time
Random Forest,79.53538183763081,8.918261144283163,1.711624197635135,0.9797669933811013,0.9868189532761361,3.6122779846191406
GBDT,107.01817940167224,10.34495913001459,3.021383494786862,0.9727756442208711,0.9809960674703879,1.5463638305664062
XGBoost,81.00424043582048,9.000235576684672,1.794550670236349,0.9793933304269198,0.9834093085994754,0.16451311111450195
MLP (Neural Network),329.7390605876099,18.158718583303447,7.999857354173142,0.9161176769227252,0.8766480687237056,7.975035905838013
LightGBM,72.96422800227498,8.541910090973504,1.9813728084031406,0.9814386292741177,0.9845929955052863,0.1142580509185791
Deep Learning (SOTA),1540.232408650216,39.245794789381144,11.612280861788046,0.6081802614277801,,1.5600130558013916
